Order_id,old_taxonID_linked_genome_sequence,new_taxonID_in_Fig.1,No. Complete and single-copy,No. Complete and duplicated,No. Fragmented,Missing,No. Complete and single-copy(pct),CUG_usage,#Organism Name linked to NCBI record,Strain linked to NCBI record,species linked to NCBI record,genus linked to NCBI record,family/clade linked to NCBI record,order linked to NCBI record,class linked to NCBI record,subphyum linked to NCBI record,phyum linked to NCBI record,Current species name in Mycobank,genus in Mycobank, family in Mycobank,order in Mycobank,class in Mycobank,subphylum in Mycobank,phylum in Mycobank,Assembly,Link
496,Penicillium_rubens,Penicillium_rubens,286,3,0,1,98.62068966,Leu,Penicillium rubens Wisconsin 54-1255,Wisconsin 54-1255,Penicillium rubens,Penicillium,Aspergillaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,Penicillium rubens,Penicillium,Aspergillaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,GCA_000226395.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/226/395/GCA_000226395.1_PenChr_Nov2007/GCA_000226395.1_PenChr_Nov2007_genomic.fna.gz
497,Memnoniella_echinata,Memnoniella_echinata,285,4,0,1,98.27586207,Leu,Memnoniella echinata,JCM 22618,Memnoniella echinata,Memnoniella,Stachybotryaceae,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,Memnoniella echinata,Memnoniella,no_rank,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,GCA_001599555.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/555/GCA_001599555.1_JCM_22618_assembly_v001/GCA_001599555.1_JCM_22618_assembly_v001_genomic.fna.gz
498,Aspergillus_fischeri,Neosartorya_fischeri,288,1,0,1,99.31034483,Leu,Aspergillus fischeri NRRL 181,NRRL 181,Aspergillus fischeri,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,Neosartorya fischeri,Neosartorya,Trichocomaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,GCA_000149645.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/645/GCA_000149645.2_ASM14964v1/GCA_000149645.2_ASM14964v1_genomic.fna.gz
499,Aspergillus_taichungensis,Aspergillus_taichungensis,286,1,1,2,98.62068966,Leu,Aspergillus taichungensis,IBT 19404,Aspergillus taichungensis,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,Aspergillus taichungensis,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,GCA_002850765.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/850/765/GCA_002850765.1_Asptaic1/GCA_002850765.1_Asptaic1_genomic.fna.gz
500,Talaromyces_stipitatus,Talaromyces_stipitatus,283,5,1,1,97.5862069,Leu,Talaromyces stipitatus ATCC 10500,ATCC 10500,Talaromyces stipitatus,Talaromyces,Trichocomaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,Talaromyces stipitatus,Talaromyces,Trichocomaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,GCA_000003125.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/125/GCA_000003125.1_JCVI-TSTA1-3.0/GCA_000003125.1_JCVI-TSTA1-3.0_genomic.fna.gz
501,Fusarium_sp._FIESC_12,Fusarium_sp._FIESC_12,290,0,0,0,100,Leu,Fusarium sp. FIESC_12,NRRL 13405,Fusarium sp.,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,NA,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,GCA_003012295.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/012/295/GCA_003012295.1_FIESC_12_NRRL13405_FIE12Z_contigs/GCA_003012295.1_FIESC_12_NRRL13405_FIE12Z_contigs_genomic.fna.gz
502,Ascocoryne_sarcoides,Ascocoryne_sarcoides,287,1,0,2,98.96551724,Leu,Ascocoryne sarcoides NRRL 50072,NRRL 50072,Ascocoryne sarcoides,Ascocoryne,Helotiaceae,Helotiales,Leotiomycetes,Pezizomycotina,Ascomycota,Ascocoryne sarcoides,Ascocoryne,Helotiaceae,Helotiales,Leotiomycetes,Pezizomycotina,Ascomycota,GCA_000328965.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/328/965/GCA_000328965.1_ASM32896v1/GCA_000328965.1_ASM32896v1_genomic.fna.gz
503,Trichophyton_violaceum,Trichophyton_violaceum_CMCCFT3l,285,3,0,2,98.27586207,Leu,Trichophyton violaceum,CMCC(F)T3l,Trichophyton violaceum,Trichophyton,Arthrodermataceae,Onygenales,Eurotiomycetes,Pezizomycotina,Ascomycota,Trichophyton violaceum,Trichophyton,Arthrodermataceae,Onygenales,Eurotiomycetes,Pezizomycotina,Ascomycota,GCA_001651435.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/651/435/GCA_001651435.1_CMCC_F_T3l/GCA_001651435.1_CMCC_F_T3l_genomic.fna.gz
504,Aspergillus_ibericus,Aspergillus_ibericus,285,1,1,3,98.27586207,Leu,Aspergillus ibericus CBS 121593,CBS 121593,Aspergillus ibericus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,Aspergillus ibericus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,GCA_003184845.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/184/845/GCA_003184845.1_Aspibe1/GCA_003184845.1_Aspibe1_genomic.fna.gz
505,Claviceps_purpurea,Claviceps_purpurea,286,2,1,1,98.62068966,Leu,Claviceps purpurea 20.1,20.1,Claviceps purpurea,Claviceps,Clavicipitaceae,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,Claviceps purpurea,Claviceps,Clavicipitaceae,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,GCA_000347355.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/347/355/GCA_000347355.1_ASM34735v1/GCA_000347355.1_ASM34735v1_genomic.fna.gz
506,Aspergillus_lentulus,Aspergillus_lentulus,289,1,0,0,99.65517241,Leu,Aspergillus lentulus,IFM 54703,Aspergillus lentulus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,Aspergillus lentulus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,GCA_001445615.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/445/615/GCA_001445615.1_Alt_assembly01/GCA_001445615.1_Alt_assembly01_genomic.fna.gz
507,Bipolaris_victoriae,Bipolaris_victoriae,284,0,1,5,97.93103448,Leu,Bipolaris victoriae FI3,FI3,Bipolaris victoriae,Bipolaris,Pleosporaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota,Bipolaris victoriae,Bipolaris,Pleosporaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota,GCA_000527765.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/527/765/GCA_000527765.1_Cochliobolus_victoriae_v1.0/GCA_000527765.1_Cochliobolus_victoriae_v1.0_genomic.fna.gz
508,Coniella_lustricola,Coniella_lustricola,289,0,1,0,99.65517241,Leu,Coniella lustricola,B22-T-1,Coniella lustricola,Coniella,Schizoparmaceae,Diaporthales,Sordariomycetes,Pezizomycotina,Ascomycota,Coniella lustricola,Coniella,Schizoparmaceae,Diaporthales,Sordariomycetes,Pezizomycotina,Ascomycota,GCA_003019895.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/019/895/GCA_003019895.1_Coniella_lustricola_v1.0/GCA_003019895.1_Coniella_lustricola_v1.0_genomic.fna.gz
509,Curvularia_geniculata,Curvularia_geniculata,282,1,3,4,97.24137931,Leu,Curvularia geniculata,W3,Curvularia geniculata,Curvularia,Pleosporaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota,Curvularia geniculata,Curvularia,Pleosporaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota,GCA_002982235.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/982/235/GCA_002982235.1_ASM298223v1/GCA_002982235.1_ASM298223v1_genomic.fna.gz
510,Aspergillus_ruber,Eurotium_rubrum,287,1,0,2,98.96551724,Leu,Aspergillus ruber CBS 135680,CBS 135680,Aspergillus ruber,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,Eurotium rubrum,Eurotium,Aspergillaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,GCA_000600275.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/600/275/GCA_000600275.1_Eurhe1/GCA_000600275.1_Eurhe1_genomic.fna.gz
511,Aspergillus_saccharolyticus,Aspergillus_saccharolyticus,288,1,0,1,99.31034483,Leu,Aspergillus saccharolyticus JOP 1030-1,JOP 1030-1,Aspergillus saccharolyticus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,Aspergillus saccharolyticus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,GCA_003184585.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/184/585/GCA_003184585.1_Aspsac1/GCA_003184585.1_Aspsac1_genomic.fna.gz
512,Sporothrix_schenckii,Sporothrix_schenckii,286,2,0,2,98.62068966,Leu,Sporothrix schenckii,SsMS1,Sporothrix schenckii,Sporothrix,Ophiostomataceae,Ophiostomatales,Sordariomycetes,Pezizomycotina,Ascomycota,Sporothrix schenckii,Sporothrix,Ophiostomataceae,Ophiostomatales,Sordariomycetes,Pezizomycotina,Ascomycota,GCA_002941045.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/941/045/GCA_002941045.1_SsMS1_v1/GCA_002941045.1_SsMS1_v1_genomic.fna.gz
513,Amauroascus_mutatus,Amauroascus_mutatus,286,0,1,3,98.62068966,Leu,Amauroascus mutatus,UAMH 3576,Amauroascus mutatus,Amauroascus,Onygenaceae,Onygenales,Eurotiomycetes,Pezizomycotina,Ascomycota,Amauroascus mutatus,Amauroascus,Onygenaceae,Onygenales,Eurotiomycetes,Pezizomycotina,Ascomycota,GCA_001430935.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/430/935/GCA_001430935.1_ASM143093v1/GCA_001430935.1_ASM143093v1_genomic.fna.gz
514,Aureobasidium_pullulans,Aureobasidium_pullulans,286,1,1,2,98.62068966,Leu,Aureobasidium pullulans,CCTCC M 2012259,Aureobasidium pullulans,Aureobasidium,Saccotheciaceae,Dothideales,Dothideomycetes,Pezizomycotina,Ascomycota,Aureobasidium pullulans,Aureobasidium,Dothioraceae,Dothideales,Dothideomycetes,Pezizomycotina,Ascomycota,GCA_003336255.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/336/255/GCA_003336255.1_ASM333625v1/GCA_003336255.1_ASM333625v1_genomic.fna.gz
515,Epichloe_sp._AL9924,Epichloe_sp._AL9924,288,1,0,1,99.31034483,Leu,Epichloe sp. AL9924,AL9924,Epichloe sp.,Epichloe,Clavicipitaceae,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,NA,Epichloë,Clavicipitaceae,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,GCA_000729825.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/729/825/GCA_000729825.1_EpichlAL9924_10/GCA_000729825.1_EpichlAL9924_10_genomic.fna.gz
516,Pseudogymnoascus_verrucosus,Pseudogymnoascus_verrucosus,285,2,0,3,98.27586207,Leu,Pseudogymnoascus verrucosus,UAMH 10579,Pseudogymnoascus verrucosus,Pseudogymnoascus,Pseudeurotiaceae,no_rank,Leotiomycetes,Pezizomycotina,Ascomycota,Pseudogymnoascus verrucosus,Pseudogymnoascus,Pseudeurotiaceae,no_rank,Leotiomycetes,Pezizomycotina,Ascomycota,GCA_001662655.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/662/655/GCA_001662655.1_ASM166265v1/GCA_001662655.1_ASM166265v1_genomic.fna.gz
517,Coccidioides_posadasii,Coccidioides_posadasii,287,0,0,3,98.96551724,Leu,Coccidioides posadasii C735 delta SOWgp,C735 delta SOWgp,Coccidioides posadasii,Coccidioides,no_rank,Onygenales,Eurotiomycetes,Pezizomycotina,Ascomycota,Coccidioides posadasii,Coccidioides,Onygenaceae,Onygenales,Eurotiomycetes,Pezizomycotina,Ascomycota,GCA_000151335.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/335/GCA_000151335.1_JCVI-cpa1-1.0/GCA_000151335.1_JCVI-cpa1-1.0_genomic.fna.gz
518,Capronia_coronata,Capronia_coronata,288,0,1,1,99.31034483,Leu,Capronia coronata CBS 617.96,CBS 617.96,Capronia coronata,Capronia,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,Pezizomycotina,Ascomycota,Capronia coronata,Capronia,Herpotrichiellaceae,Chaetothyriales,Eurotiomycetes,Pezizomycotina,Ascomycota,GCA_000585585.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/585/585/GCA_000585585.1_Capr_coro_CBS_617_96_V1/GCA_000585585.1_Capr_coro_CBS_617_96_V1_genomic.fna.gz
519,Myriosclerotinia_curreyana,Myriosclerotinia_curreyana,289,0,0,1,99.65517241,Leu,Myriosclerotinia curreyana,LMK 759,Myriosclerotinia curreyana,Myriosclerotinia,Sclerotiniaceae,Helotiales,Leotiomycetes,Pezizomycotina,Ascomycota,Myriosclerotinia curreyana,Myriosclerotinia,Sclerotiniaceae,Helotiales,Leotiomycetes,Pezizomycotina,Ascomycota,GCA_002162495.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/162/495/GCA_002162495.1_ASM216249v1/GCA_002162495.1_ASM216249v1_genomic.fna.gz
520,Pseudocercospora_fijiensis,Pseudocercospora_fijiensis,283,2,1,4,97.5862069,Leu,Pseudocercospora fijiensis CIRAD86,CIRAD86,Pseudocercospora fijiensis,Pseudocercospora,Mycosphaerellaceae,Capnodiales,Dothideomycetes,Pezizomycotina,Ascomycota,Pseudocercospora fijiensis,Pseudocercospora,Mycosphaerellaceae,Capnodiales,Dothideomycetes,Pezizomycotina,Ascomycota,GCA_000340215.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/340/215/GCA_000340215.1_Mycfi2/GCA_000340215.1_Mycfi2_genomic.fna.gz
521,Fusarium_sp._JS1030,Fusarium_sp._JS1030,286,4,0,0,98.62068966,Leu,Fusarium sp. JS1030,JS1030,Fusarium sp.,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,NA,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,GCA_000966855.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/966/855/GCA_000966855.1_ASM96685v1/GCA_000966855.1_ASM96685v1_genomic.fna.gz
522,Aspergillus_aculeatus,Aspergillus_aculeatus,287,2,0,1,98.96551724,Leu,Aspergillus aculeatus ATCC 16872,ATCC 16872,Aspergillus aculeatus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,Aspergillus aculeatus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,GCA_001890905.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/890/905/GCA_001890905.1_Aspac1/GCA_001890905.1_Aspac1_genomic.fna.gz
523,Metarhizium_rileyi,Metarhizium_rileyi,288,1,0,1,99.31034483,Leu,Metarhizium rileyi RCEF 4871,RCEF 4871,Metarhizium rileyi,Metarhizium,Clavicipitaceae,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,Metarhizium rileyi,Metarhizium,Clavicipitaceae,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,GCA_001636745.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/636/745/GCA_001636745.1_NOR_1.0/GCA_001636745.1_NOR_1.0_genomic.fna.gz
524,Paecilomyces_hepiali,Paecilomyces_hepiali,288,2,0,0,99.31034483,Leu,Paecilomyces hepiali,FENG,Paecilomyces hepiali,Paecilomyces,Clavicipitaceae,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,Paecilomyces hepiali,Paecilomyces,Trichocomaceae,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,GCA_001455915.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/455/915/GCA_001455915.2_ASM145591v2/GCA_001455915.2_ASM145591v2_genomic.fna.gz
525,Penicillium_citrinum,Penicillium_citrinum,286,2,0,2,98.62068966,Leu,Penicillium citrinum,JCM 22607,Penicillium citrinum,Penicillium,Aspergillaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,Penicillium citrinum,Penicillium,Aspergillaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,GCA_001950535.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/950/535/GCA_001950535.1_JCM_22607_assembly_v001/GCA_001950535.1_JCM_22607_assembly_v001_genomic.fna.gz
526,Lasiodiplodia_theobromae,Lasiodiplodia_theobromae,287,3,0,0,98.96551724,Leu,Lasiodiplodia theobromae,CSS-01s,Lasiodiplodia theobromae,Lasiodiplodia,Botryosphaeriaceae,Botryosphaeriales,Dothideomycetes,Pezizomycotina,Ascomycota,Lasiodiplodia theobromae,Lasiodiplodia,Botryosphaeriaceae,Botryosphaeriales,Dothideomycetes,Pezizomycotina,Ascomycota,GCA_002111425.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/111/425/GCA_002111425.1_ASM211142v1/GCA_002111425.1_ASM211142v1_genomic.fna.gz
527,Aspergillus_eucalypticola,Aspergillus_eucalypticola,286,2,2,0,98.62068966,Leu,Aspergillus eucalypticola CBS 122712,CBS 122712,Aspergillus eucalypticola,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,Aspergillus eucalypticola,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,GCA_003184535.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/184/535/GCA_003184535.1_Aspeuc1/GCA_003184535.1_Aspeuc1_genomic.fna.gz
528,Aspergillus_kawachii,Aspergillus_kawachii,287,2,0,1,98.96551724,Leu,Aspergillus kawachii IFO 4308,IFO4308,Aspergillus kawachii,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,Aspergillus kawachii,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,GCA_000239835.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/239/835/GCA_000239835.2_Akaw_assembly01/GCA_000239835.2_Akaw_assembly01_genomic.fna.gz
529,Aspergillus_lacticoffeatus,Aspergillus_lacticoffeatus,286,2,1,1,98.62068966,Leu,Aspergillus lacticoffeatus CBS 101883,CBS 101883,Aspergillus lacticoffeatus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,Aspergillus lacticoffeatus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,GCA_003184595.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/184/595/GCA_003184595.1_Asplac1/GCA_003184595.1_Asplac1_genomic.fna.gz
530,Talaromyces_amestolkiae,Talaromyces_amestolkiae,285,2,2,1,98.27586207,Leu,Talaromyces amestolkiae,CIB,Talaromyces amestolkiae,Talaromyces,Trichocomaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,Talaromyces amestolkiae,Talaromyces,Trichocomaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,GCA_001896365.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/896/365/GCA_001896365.1_ASM189636v1/GCA_001896365.1_ASM189636v1_genomic.fna.gz
531,Penicillium_biforme,Penicillium_camemberti_FM169,286,2,2,0,98.62068966,Leu,Penicillium biforme FM169,FM169,Penicillium biforme,Penicillium,Aspergillaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,Penicillium camemberti,Penicillium,Aspergillaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,GCA_000577785.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/577/785/GCA_000577785.1_PBIFFM169_20131217/GCA_000577785.1_PBIFFM169_20131217_genomic.fna.gz
532,Trichothecium_sympodiale,Spicellum_roseum,286,2,0,2,98.62068966,Leu,Trichothecium sympodiale,DAOM 209012,Trichothecium sympodiale,Trichothecium,no_rank,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,Spicellum roseum,Spicellum,no_rank,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,GCA_003012115.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/012/115/GCA_003012115.1_Spicellum_roseum_DAOM209012_SROSE_contigs/GCA_003012115.1_Spicellum_roseum_DAOM209012_SROSE_contigs_genomic.fna.gz
533,Pseudopyrenochaeta_lycopersici,Pseudopyrenochaeta_lycopersici,285,1,0,4,98.27586207,Leu,Pseudopyrenochaeta lycopersici,CRA-PAV_ER 1518,Pseudopyrenochaeta lycopersici,Pseudopyrenochaeta,Pseudopyrenochaetaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota,Pseudopyrenochaeta lycopersici,Pseudopyrenochaeta,Pseudopyrenochaetaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota,GCA_003313425.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/313/425/GCA_003313425.1_ASM331342v1/GCA_003313425.1_ASM331342v1_genomic.fna.gz
534,Clonostachys_rosea,Clonostachys_rosea,288,0,1,1,99.31034483,Leu,Clonostachys rosea,YKD0085,Clonostachys rosea,Clonostachys,Bionectriaceae,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,Clonostachys rosea,Clonostachys,Bionectriaceae,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,GCA_001640285.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/640/285/GCA_001640285.1_ASM164028v1/GCA_001640285.1_ASM164028v1_genomic.fna.gz
535,Penicillium_polonicum,Penicillium_polonicum,286,2,1,1,98.62068966,Leu,Penicillium polonicum,hy4,Penicillium polonicum,Penicillium,Aspergillaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,Penicillium polonicum,Penicillium,Aspergillaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,GCA_003344595.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/344/595/GCA_003344595.1_ASM334459v1/GCA_003344595.1_ASM334459v1_genomic.fna.gz
536,Cercospora_sojina,Cercospora_sojina,282,3,2,3,97.24137931,Leu,Cercospora sojina,N1,Cercospora sojina,Cercospora,Mycosphaerellaceae,Capnodiales,Dothideomycetes,Pezizomycotina,Ascomycota,Cercospora sojina,Cercospora,Mycosphaerellaceae,Capnodiales,Dothideomycetes,Pezizomycotina,Ascomycota,GCA_002534735.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/534/735/GCA_002534735.1_ASM253473v1/GCA_002534735.1_ASM253473v1_genomic.fna.gz
537,Aspergillus_cristatus,Eurotium_cristatum,285,2,2,1,98.27586207,Leu,Aspergillus cristatus,GZAAS20.1005,Aspergillus cristatus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,Eurotium cristatum,Eurotium,Aspergillaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,GCA_001717485.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/717/485/GCA_001717485.1_ASM171748v1/GCA_001717485.1_ASM171748v1_genomic.fna.gz
538,Aspergillus_vadensis,Aspergillus_vadensis,287,1,2,0,98.96551724,Leu,Aspergillus vadensis CBS 113365,CBS 113365,Aspergillus vadensis,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,Aspergillus vadensis,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,GCA_003184925.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/184/925/GCA_003184925.1_Aspvad1/GCA_003184925.1_Aspvad1_genomic.fna.gz
539,Sporothrix_brasiliensis,Sporothrix_brasiliensis,284,3,0,3,97.93103448,Leu,Sporothrix brasiliensis 5110,5110,Sporothrix brasiliensis,Sporothrix,Ophiostomataceae,Ophiostomatales,Sordariomycetes,Pezizomycotina,Ascomycota,Sporothrix brasiliensis,Sporothrix,Ophiostomataceae,Ophiostomatales,Sordariomycetes,Pezizomycotina,Ascomycota,GCA_000820605.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/820/605/GCA_000820605.1_S_brasiliensis_5110_v1/GCA_000820605.1_S_brasiliensis_5110_v1_genomic.fna.gz
540,Beverwykella_pulmonaria,Beverwykella_pulmonaria,284,1,2,3,97.93103448,Leu,Beverwykella pulmonaria,JCM 9230,Beverwykella pulmonaria,Beverwykella,Melanommataceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota,Beverwykella pulmonaria,Beverwykella,no_rank,no_rank,no_rank,no_rank,Ascomycota,GCA_001599595.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/595/GCA_001599595.1_JCM_9230_assembly_v001/GCA_001599595.1_JCM_9230_assembly_v001_genomic.fna.gz
541,Malbranchea_cinnamomea,Malbranchea_cinnamomea,285,0,1,4,98.27586207,Leu,Malbranchea cinnamomea,,Malbranchea cinnamomea,Malbranchea,no_rank,Onygenales,Eurotiomycetes,Pezizomycotina,Ascomycota,Malbranchea cinnamomea,Malbranchea,no_rank,Onygenales,Eurotiomycetes,Pezizomycotina,Ascomycota,GCA_900128795.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/128/795/GCA_900128795.2_FCH_10_5/GCA_900128795.2_FCH_10_5_genomic.fna.gz
542,Nigrograna_mackinnonii,Nigrograna_mackinnonii,285,1,1,3,98.27586207,Leu,Nigrograna mackinnonii,E5202H,Nigrograna mackinnonii,Nigrograna,Nigrogranaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota,Nigrograna mackinnonii,Nigrograna,Nigrogranaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota,GCA_001007845.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/007/845/GCA_001007845.1_E202H_v1/GCA_001007845.1_E202H_v1_genomic.fna.gz
